Transaction ID,Consumer ID,Segment,Transaction Date,Month,Platform,Category,Purchase Amount CAD,Number of Installments,Installment Amount CAD,Completion Date,Missed Payment,Missed Payment Count,Late Fee CAD,Total Cost CAD
TXN10421,BNPL5226,High Exposure User,2024-07-16,2024-07,PayBright,"Fast Fashion (Shein, Temu, ASOS)",66.52,3,22.17,2024-08-27,No,0,0,66.52
TXN10422,BNPL5227,Regular User,2024-05-02,2024-05,PayBright,Footwear,128.04,4,32.01,2024-06-27,No,0,0,128.04
TXN10423,BNPL5227,Regular User,2024-01-07,2024-01,PayBright,Sporting Goods,175.21,6,29.2,2024-03-31,No,0,0,175.21
TXN10424,BNPL5227,Regular User,2024-07-23,2024-07,Afterpay,Electronics and Tech,308.38,4,77.09,2024-09-17,No,0,0,308.38
TXN10425,BNPL5227,Regular User,2024-01-05,2024-01,Afterpay,Home and Furniture,336.52,4,84.13,2024-03-01,No,0,0,336.52
TXN10426,BNPL5227,Regular User,2024-03-27,2024-03,Klarna,"Fast Fashion (Shein, Temu, ASOS)",79.56,4,19.89,2024-05-22,No,0,0,79.56
TXN10427,BNPL5227,Regular User,2024-02-24,2024-02,PayBright,Sporting Goods,252.03,4,63.01,2024-04-20,No,0,0,252.03
TXN10428,BNPL5228,Regular User,2024-09-10,2024-09,PayBright,Sporting Goods,201.61,6,33.6,2024-12-03,No,0,0,201.61
TXN10429,BNPL5228,Regular User,2024-04-28,2024-04,Paidy,Beauty and Skincare,84.67,4,21.17,2024-06-23,No,0,0,84.67
TXN10430,BNPL5228,Regular User,2024-07-18,2024-07,Sezzle,Electronics and Tech,274.38,4,68.59,2024-09-12,No,0,0,274.38
TXN10431,BNPL5228,Regular User,2024-05-02,2024-05,Paidy,Electronics and Tech,285.64,3,95.21,2024-06-13,No,0,0,285.64
TXN10432,BNPL5228,Regular User,2024-05-08,2024-05,PayBright,Beauty and Skincare,33.41,4,8.35,2024-07-03,No,0,0,33.41
TXN10433,BNPL5228,Regular User,2024-11-19,2024-11,Klarna,Sporting Goods,223.71,3,74.57,2024-12-31,No,0,0,223.71
TXN10434,BNPL5228,Regular User,2024-10-23,2024-10,Afterpay,Beauty and Skincare,56.91,6,9.48,2025-01-15,Yes,1,8.0,64.91
TXN10435,BNPL5228,Regular User,2024-01-15,2024-01,Sezzle,Sporting Goods,178.61,6,29.77,2024-04-08,No,0,0,178.61
TXN10436,BNPL5228,Regular User,2024-03-05,2024-03,Klarna,Beauty and Skincare,85.0,6,14.17,2024-05-28,No,0,0,85.0
TXN10437,BNPL5229,Occasional User,2024-07-12,2024-07,Klarna,Electronics and Tech,303.52,4,75.88,2024-09-06,No,0,0,303.52
TXN10438,BNPL5229,Occasional User,2024-10-01,2024-10,Klarna,"Fast Fashion (Shein, Temu, ASOS)",56.21,6,9.37,2024-12-24,No,0,0,56.21
TXN10439,BNPL5230,Regular User,2024-01-20,2024-01,PayBright,Beauty and Skincare,80.71,6,13.45,2024-04-13,No,0,0,80.71
TXN10440,BNPL5230,Regular User,2024-03-17,2024-03,Afterpay,Home and Furniture,239.73,4,59.93,2024-05-12,No,0,0,239.73
TXN10441,BNPL5230,Regular User,2024-09-25,2024-09,Afterpay,"Fast Fashion (Shein, Temu, ASOS)",53.53,4,13.38,2024-11-20,No,0,0,53.53
TXN10442,BNPL5230,Regular User,2024-02-28,2024-02,Sezzle,"Fast Fashion (Shein, Temu, ASOS)",58.97,4,14.74,2024-04-24,No,0,0,58.97
TXN10443,BNPL5230,Regular User,2024-05-09,2024-05,Afterpay,Home and Furniture,212.73,4,53.18,2024-07-04,Yes,2,16.0,228.73
TXN10444,BNPL5230,Regular User,2024-04-22,2024-04,Afterpay,"Fast Fashion (Shein, Temu, ASOS)",71.19,6,11.87,2024-07-15,No,0,0,71.19
TXN10445,BNPL5230,Regular User,2024-07-16,2024-07,Sezzle,Footwear,102.11,4,25.53,2024-09-10,No,0,0,102.11
TXN10446,BNPL5231,Occasional User,2024-05-21,2024-05,Sezzle,Sporting Goods,202.71,6,33.79,2024-08-13,No,0,0,202.71
TXN10447,BNPL5232,Regular User,2024-03-31,2024-03,Sezzle,Beauty and Skincare,72.05,4,18.01,2024-05-26,No,0,0,72.05
TXN10448,BNPL5232,Regular User,2024-09-12,2024-09,Sezzle,Beauty and Skincare,86.51,3,28.84,2024-10-24,Yes,1,8.0,94.51
TXN10449,BNPL5232,Regular User,2024-03-04,2024-03,Afterpay,Electronics and Tech,348.48,4,87.12,2024-04-29,No,0,0,348.48
TXN10450,BNPL5232,Regular User,2024-10-17,2024-10,Sezzle,"Fast Fashion (Shein, Temu, ASOS)",59.44,3,19.81,2024-11-28,No,0,0,59.44
TXN10451,BNPL5232,Regular User,2024-07-20,2024-07,PayBright,"Fast Fashion (Shein, Temu, ASOS)",64.0,6,10.67,2024-10-12,No,0,0,64.0
TXN10452,BNPL5232,Regular User,2024-11-14,2024-11,Sezzle,Electronics and Tech,489.21,4,122.3,2025-01-09,No,0,0,489.21
TXN10453,BNPL5232,Regular User,2024-06-07,2024-06,Klarna,Electronics and Tech,143.35,4,35.84,2024-08-02,No,0,0,143.35
TXN10454,BNPL5232,Regular User,2024-03-29,2024-03,Afterpay,Beauty and Skincare,53.39,3,17.8,2024-05-10,No,0,0,53.39
TXN10455,BNPL5233,Regular User,2024-05-02,2024-05,Klarna,Home and Furniture,468.07,4,117.02,2024-06-27,No,0,0,468.07
TXN10456,BNPL5233,Regular User,2024-06-10,2024-06,Klarna,"Fast Fashion (Shein, Temu, ASOS)",68.15,4,17.04,2024-08-05,No,0,0,68.15
TXN10457,BNPL5233,Regular User,2024-04-08,2024-04,Afterpay,Footwear,56.53,4,14.13,2024-06-03,No,0,0,56.53
TXN10458,BNPL5233,Regular User,2024-08-26,2024-08,Sezzle,Beauty and Skincare,57.78,3,19.26,2024-10-07,Yes,1,8.0,65.78
TXN10459,BNPL5233,Regular User,2024-10-23,2024-10,Afterpay,Electronics and Tech,312.02,4,78.0,2024-12-18,No,0,0,312.02
TXN10460,BNPL5233,Regular User,2024-11-25,2024-11,PayBright,"Fast Fashion (Shein, Temu, ASOS)",73.67,4,18.42,2025-01-20,No,0,0,73.67
TXN10461,BNPL5234,Regular User,2024-01-06,2024-01,Afterpay,Electronics and Tech,295.56,4,73.89,2024-03-02,No,0,0,295.56
TXN10462,BNPL5234,Regular User,2024-01-27,2024-01,Sezzle,Sporting Goods,213.86,4,53.47,2024-03-23,No,0,0,213.86
TXN10463,BNPL5234,Regular User,2024-12-15,2024-12,Klarna,Footwear,119.73,4,29.93,2025-02-09,No,0,0,119.73
TXN10464,BNPL5234,Regular User,2024-08-12,2024-08,PayBright,Beauty and Skincare,117.48,4,29.37,2024-10-07,No,0,0,117.48
TXN10465,BNPL5234,Regular User,2024-08-23,2024-08,PayBright,Footwear,146.22,4,36.55,2024-10-18,No,0,0,146.22
TXN10466,BNPL5234,Regular User,2024-09-03,2024-09,Klarna,"Fast Fashion (Shein, Temu, ASOS)",64.24,3,21.41,2024-10-15,No,0,0,64.24
TXN10467,BNPL5235,High Exposure User,2024-01-04,2024-01,Sezzle,Beauty and Skincare,63.51,4,15.88,2024-02-29,No,0,0,63.51
TXN10468,BNPL5235,High Exposure User,2024-09-20,2024-09,Klarna,Beauty and Skincare,70.11,4,17.53,2024-11-15,Yes,1,8.0,78.11
TXN10469,BNPL5235,High Exposure User,2024-11-21,2024-11,Paidy,Beauty and Skincare,42.67,3,14.22,2025-01-02,No,0,0,42.67
TXN10470,BNPL5235,High Exposure User,2024-01-15,2024-01,Klarna,Beauty and Skincare,104.03,4,26.01,2024-03-11,No,0,0,104.03
TXN10471,BNPL5235,High Exposure User,2024-10-21,2024-10,Paidy,Beauty and Skincare,81.1,3,27.03,2024-12-02,Yes,1,8.0,89.1
TXN10472,BNPL5235,High Exposure User,2024-05-19,2024-05,Afterpay,Electronics and Tech,292.48,6,48.75,2024-08-11,No,0,0,292.48
TXN10473,BNPL5235,High Exposure User,2024-03-26,2024-03,PayBright,"Fast Fashion (Shein, Temu, ASOS)",90.92,3,30.31,2024-05-07,No,0,0,90.92
TXN10474,BNPL5235,High Exposure User,2024-11-27,2024-11,Paidy,Sporting Goods,245.56,6,40.93,2025-02-19,No,0,0,245.56
TXN10475,BNPL5235,High Exposure User,2024-05-16,2024-05,Afterpay,Footwear,71.97,4,17.99,2024-07-11,No,0,0,71.97
TXN10476,BNPL5235,High Exposure User,2024-02-26,2024-02,PayBright,Home and Furniture,385.13,4,96.28,2024-04-22,Yes,2,16.0,401.13
TXN10477,BNPL5235,High Exposure User,2024-11-25,2024-11,Sezzle,"Fast Fashion (Shein, Temu, ASOS)",48.99,4,12.25,2025-01-20,Yes,2,16.0,64.99
TXN10478,BNPL5235,High Exposure User,2024-04-24,2024-04,PayBright,Home and Furniture,338.55,4,84.64,2024-06-19,No,0,0,338.55
TXN10479,BNPL5236,Occasional User,2024-01-30,2024-01,Klarna,"Fast Fashion (Shein, Temu, ASOS)",29.12,4,7.28,2024-03-26,No,0,0,29.12
TXN10480,BNPL5237,Regular User,2024-06-01,2024-06,Sezzle,"Fast Fashion (Shein, Temu, ASOS)",65.51,6,10.92,2024-08-24,No,0,0,65.51
TXN10481,BNPL5237,Regular User,2024-04-19,2024-04,Paidy,"Fast Fashion (Shein, Temu, ASOS)",71.23,6,11.87,2024-07-12,No,0,0,71.23
TXN10482,BNPL5237,Regular User,2024-04-12,2024-04,PayBright,Home and Furniture,214.31,6,35.72,2024-07-05,Yes,2,16.0,230.31
TXN10483,BNPL5237,Regular User,2024-03-22,2024-03,PayBright,"Fast Fashion (Shein, Temu, ASOS)",46.51,4,11.63,2024-05-17,No,0,0,46.51
TXN10484,BNPL5237,Regular User,2024-05-21,2024-05,Afterpay,"Fast Fashion (Shein, Temu, ASOS)",53.77,3,17.92,2024-07-02,No,0,0,53.77
TXN10485,BNPL5237,Regular User,2024-12-17,2024-12,Afterpay,Beauty and Skincare,95.54,4,23.89,2025-02-11,Yes,1,8.0,103.54
TXN10486,BNPL5238,Regular User,2024-06-22,2024-06,Afterpay,Beauty and Skincare,85.73,3,28.58,2024-08-03,No,0,0,85.73
TXN10487,BNPL5238,Regular User,2024-09-16,2024-09,Paidy,Footwear,156.74,3,52.25,2024-10-28,No,0,0,156.74
TXN10488,BNPL5238,Regular User,2024-11-27,2024-11,Paidy,Home and Furniture,419.93,4,104.98,2025-01-22,Yes,2,16.0,435.93
TXN10489,BNPL5238,Regular User,2024-06-17,2024-06,Afterpay,"Fast Fashion (Shein, Temu, ASOS)",60.42,4,15.11,2024-08-12,No,0,0,60.42
TXN10490,BNPL5238,Regular User,2024-06-19,2024-06,Klarna,"Fast Fashion (Shein, Temu, ASOS)",68.44,6,11.41,2024-09-11,No,0,0,68.44
TXN10491,BNPL5238,Regular User,2024-12-04,2024-12,Paidy,Beauty and Skincare,96.35,4,24.09,2025-01-29,No,0,0,96.35
TXN10492,BNPL5238,Regular User,2024-04-02,2024-04,Klarna,Footwear,207.7,6,34.62,2024-06-25,Yes,2,16.0,223.7
TXN10493,BNPL5238,Regular User,2024-03-06,2024-03,Paidy,Footwear,146.49,4,36.62,2024-05-01,No,0,0,146.49
TXN10494,BNPL5239,High Exposure User,2024-10-25,2024-10,Afterpay,"Fast Fashion (Shein, Temu, ASOS)",71.11,4,17.78,2024-12-20,No,0,0,71.11
TXN10495,BNPL5239,High Exposure User,2024-10-07,2024-10,Sezzle,Footwear,165.81,6,27.64,2024-12-30,No,0,0,165.81
TXN10496,BNPL5239,High Exposure User,2024-12-19,2024-12,Klarna,Sporting Goods,263.02,4,65.75,2025-02-13,Yes,2,16.0,279.02
TXN10497,BNPL5239,High Exposure User,2024-09-14,2024-09,Sezzle,Beauty and Skincare,76.07,4,19.02,2024-11-09,No,0,0,76.07
TXN10498,BNPL5239,High Exposure User,2024-11-04,2024-11,Klarna,Electronics and Tech,209.6,4,52.4,2024-12-30,No,0,0,209.6
TXN10499,BNPL5239,High Exposure User,2024-12-13,2024-12,Afterpay,Beauty and Skincare,59.91,4,14.98,2025-02-07,No,0,0,59.91
TXN10500,BNPL5239,High Exposure User,2024-04-07,2024-04,Afterpay,Beauty and Skincare,45.97,4,11.49,2024-06-02,No,0,0,45.97
TXN10501,BNPL5239,High Exposure User,2024-10-09,2024-10,Klarna,Sporting Goods,253.87,3,84.62,2024-11-20,No,0,0,253.87
TXN10502,BNPL5239,High Exposure User,2024-07-06,2024-07,PayBright,Sporting Goods,162.67,4,40.67,2024-08-31,No,0,0,162.67
TXN10503,BNPL5239,High Exposure User,2024-11-06,2024-11,Klarna,Electronics and Tech,282.81,4,70.7,2025-01-01,No,0,0,282.81
TXN10504,BNPL5239,High Exposure User,2024-12-19,2024-12,PayBright,Sporting Goods,234.88,4,58.72,2025-02-13,Yes,2,16.0,250.88
TXN10505,BNPL5239,High Exposure User,2024-09-23,2024-09,Sezzle,Beauty and Skincare,111.43,3,37.14,2024-11-04,No,0,0,111.43
TXN10506,BNPL5239,High Exposure User,2024-04-23,2024-04,PayBright,Sporting Goods,133.03,4,33.26,2024-06-18,No,0,0,133.03
TXN10507,BNPL5239,High Exposure User,2024-07-11,2024-07,Afterpay,Beauty and Skincare,68.25,4,17.06,2024-09-05,No,0,0,68.25
TXN10508,BNPL5239,High Exposure User,2024-12-11,2024-12,Klarna,Beauty and Skincare,105.25,3,35.08,2025-01-22,No,0,0,105.25
TXN10509,BNPL5239,High Exposure User,2024-01-12,2024-01,Klarna,"Fast Fashion (Shein, Temu, ASOS)",68.29,4,17.07,2024-03-08,No,0,0,68.29
TXN10510,BNPL5240,High Exposure User,2024-08-18,2024-08,Afterpay,"Fast Fashion (Shein, Temu, ASOS)",63.83,4,15.96,2024-10-13,Yes,1,8.0,71.83
TXN10511,BNPL5240,High Exposure User,2024-12-25,2024-12,PayBright,"Fast Fashion (Shein, Temu, ASOS)",67.45,4,16.86,2025-02-19,Yes,2,16.0,83.45
TXN10512,BNPL5240,High Exposure User,2024-03-01,2024-03,Afterpay,Beauty and Skincare,70.1,4,17.52,2024-04-26,No,0,0,70.1
TXN10513,BNPL5240,High Exposure User,2024-05-06,2024-05,Klarna,"Fast Fashion (Shein, Temu, ASOS)",59.89,4,14.97,2024-07-01,No,0,0,59.89
TXN10514,BNPL5240,High Exposure User,2024-02-26,2024-02,Klarna,Home and Furniture,215.62,4,53.91,2024-04-22,Yes,1,8.0,223.62
TXN10515,BNPL5240,High Exposure User,2024-03-05,2024-03,Klarna,Home and Furniture,327.48,3,109.16,2024-04-16,Yes,2,16.0,343.48
TXN10516,BNPL5240,High Exposure User,2024-09-19,2024-09,Klarna,Sporting Goods,134.04,6,22.34,2024-12-12,Yes,1,8.0,142.04
TXN10517,BNPL5240,High Exposure User,2024-06-04,2024-06,Sezzle,Footwear,109.92,4,27.48,2024-07-30,No,0,0,109.92
TXN10518,BNPL5240,High Exposure User,2024-04-08,2024-04,PayBright,"Fast Fashion (Shein, Temu, ASOS)",49.66,4,12.41,2024-06-03,No,0,0,49.66
TXN10519,BNPL5240,High Exposure User,2024-05-14,2024-05,Klarna,Beauty and Skincare,44.18,4,11.04,2024-07-09,No,0,0,44.18
TXN10520,BNPL5240,High Exposure User,2024-04-24,2024-04,Afterpay,Sporting Goods,149.81,4,37.45,2024-06-19,Yes,1,8.0,157.81
TXN10521,BNPL5240,High Exposure User,2024-12-25,2024-12,Afterpay,Beauty and Skincare,47.88,4,11.97,2025-02-19,Yes,2,16.0,63.88
TXN10522,BNPL5240,High Exposure User,2024-08-14,2024-08,Afterpay,Beauty and Skincare,65.88,4,16.47,2024-10-09,Yes,1,8.0,73.88
TXN10523,BNPL5240,High Exposure User,2024-09-07,2024-09,Afterpay,Electronics and Tech,338.44,4,84.61,2024-11-02,No,0,0,338.44
TXN10524,BNPL5240,High Exposure User,2024-10-17,2024-10,Paidy,Home and Furniture,223.98,4,55.99,2024-12-12,No,0,0,223.98
TXN10525,BNPL5240,High Exposure User,2024-02-27,2024-02,Klarna,Electronics and Tech,259.83,4,64.96,2024-04-23,No,0,0,259.83
TXN10526,BNPL5240,High Exposure User,2024-04-01,2024-04,Afterpay,"Fast Fashion (Shein, Temu, ASOS)",49.34,6,8.22,2024-06-24,Yes,1,8.0,57.34
TXN10527,BNPL5240,High Exposure User,2024-12-13,2024-12,PayBright,Sporting Goods,158.14,4,39.53,2025-02-07,No,0,0,158.14
TXN10528,BNPL5241,Occasional User,2024-08-03,2024-08,Sezzle,Footwear,107.59,4,26.9,2024-09-28,No,0,0,107.59
TXN10529,BNPL5241,Occasional User,2024-04-24,2024-04,Afterpay,Beauty and Skincare,64.42,4,16.11,2024-06-19,No,0,0,64.42
TXN10530,BNPL5242,Occasional User,2024-03-18,2024-03,PayBright,Sporting Goods,172.88,4,43.22,2024-05-13,No,0,0,172.88
TXN10531,BNPL5243,Regular User,2024-09-16,2024-09,Sezzle,"Fast Fashion (Shein, Temu, ASOS)",89.5,4,22.38,2024-11-11,No,0,0,89.5
TXN10532,BNPL5243,Regular User,2024-07-10,2024-07,Afterpay,Beauty and Skincare,89.5,6,14.92,2024-10-02,No,0,0,89.5
TXN10533,BNPL5243,Regular User,2024-04-29,2024-04,PayBright,"Fast Fashion (Shein, Temu, ASOS)",64.66,3,21.55,2024-06-10,No,0,0,64.66
TXN10534,BNPL5243,Regular User,2024-08-09,2024-08,Sezzle,Home and Furniture,347.0,3,115.67,2024-09-20,Yes,2,16.0,363.0
TXN10535,BNPL5243,Regular User,2024-01-29,2024-01,Afterpay,"Fast Fashion (Shein, Temu, ASOS)",50.83,3,16.94,2024-03-11,No,0,0,50.83
TXN10536,BNPL5243,Regular User,2024-04-10,2024-04,Afterpay,"Fast Fashion (Shein, Temu, ASOS)",41.02,4,10.26,2024-06-05,No,0,0,41.02
TXN10537,BNPL5243,Regular User,2024-02-03,2024-02,PayBright,Beauty and Skincare,77.84,4,19.46,2024-03-30,No,0,0,77.84
TXN10538,BNPL5243,Regular User,2024-12-06,2024-12,Sezzle,Footwear,115.51,6,19.25,2025-02-28,No,0,0,115.51
TXN10539,BNPL5244,Occasional User,2024-05-19,2024-05,Afterpay,Beauty and Skincare,44.91,4,11.23,2024-07-14,No,0,0,44.91
TXN10540,BNPL5245,Occasional User,2024-06-01,2024-06,Afterpay,"Fast Fashion (Shein, Temu, ASOS)",47.82,4,11.96,2024-07-27,No,0,0,47.82
TXN10541,BNPL5246,Occasional User,2024-12-25,2024-12,PayBright,Beauty and Skincare,76.76,4,19.19,2025-02-19,No,0,0,76.76
TXN10542,BNPL5246,Occasional User,2024-01-12,2024-01,Afterpay,Beauty and Skincare,72.51,4,18.13,2024-03-08,No,0,0,72.51
TXN10543,BNPL5247,Regular User,2024-03-03,2024-03,Afterpay,"Fast Fashion (Shein, Temu, ASOS)",25.03,4,6.26,2024-04-28,No,0,0,25.03
TXN10544,BNPL5247,Regular User,2024-11-28,2024-11,Afterpay,Home and Furniture,357.45,3,119.15,2025-01-09,No,0,0,357.45
TXN10545,BNPL5247,Regular User,2024-10-17,2024-10,Klarna,Home and Furniture,251.28,3,83.76,2024-11-28,No,0,0,251.28
TXN10546,BNPL5247,Regular User,2024-05-15,2024-05,Afterpay,Footwear,148.9,4,37.23,2024-07-10,No,0,0,148.9
TXN10547,BNPL5247,Regular User,2024-05-02,2024-05,PayBright,"Fast Fashion (Shein, Temu, ASOS)",81.3,3,27.1,2024-06-13,No,0,0,81.3
TXN10548,BNPL5247,Regular User,2024-06-27,2024-06,Paidy,Beauty and Skincare,85.48,4,21.37,2024-08-22,No,0,0,85.48
TXN10549,BNPL5247,Regular User,2024-09-19,2024-09,Paidy,Beauty and Skincare,97.36,3,32.45,2024-10-31,No,0,0,97.36
TXN10550,BNPL5247,Regular User,2024-09-19,2024-09,Afterpay,Beauty and Skincare,73.74,4,18.43,2024-11-14,No,0,0,73.74
TXN10551,BNPL5248,High Exposure User,2024-07-09,2024-07,Afterpay,Home and Furniture,408.31,3,136.1,2024-08-20,Yes,1,8.0,416.31
TXN10552,BNPL5248,High Exposure User,2024-02-15,2024-02,Klarna,Electronics and Tech,368.39,4,92.1,2024-04-11,No,0,0,368.39
TXN10553,BNPL5248,High Exposure User,2024-06-03,2024-06,Klarna,Beauty and Skincare,43.65,4,10.91,2024-07-29,No,0,0,43.65
TXN10554,BNPL5248,High Exposure User,2024-08-14,2024-08,Afterpay,Electronics and Tech,284.89,3,94.96,2024-09-25,No,0,0,284.89
TXN10555,BNPL5248,High Exposure User,2024-03-23,2024-03,Sezzle,Electronics and Tech,225.83,4,56.46,2024-05-18,No,0,0,225.83
TXN10556,BNPL5248,High Exposure User,2024-09-19,2024-09,Klarna,Footwear,147.36,3,49.12,2024-10-31,No,0,0,147.36
TXN10557,BNPL5248,High Exposure User,2024-07-07,2024-07,Klarna,Home and Furniture,388.03,3,129.34,2024-08-18,Yes,2,16.0,404.03
TXN10558,BNPL5248,High Exposure User,2024-02-21,2024-02,Klarna,Electronics and Tech,252.48,6,42.08,2024-05-15,Yes,2,16.0,268.48
TXN10559,BNPL5248,High Exposure User,2024-10-27,2024-10,Sezzle,Electronics and Tech,403.87,4,100.97,2024-12-22,Yes,1,8.0,411.87
TXN10560,BNPL5248,High Exposure User,2024-06-16,2024-06,Afterpay,Electronics and Tech,173.39,4,43.35,2024-08-11,No,0,0,173.39
TXN10561,BNPL5248,High Exposure User,2024-04-08,2024-04,Klarna,Beauty and Skincare,101.3,6,16.88,2024-07-01,No,0,0,101.3
TXN10562,BNPL5248,High Exposure User,2024-09-29,2024-09,Paidy,Electronics and Tech,217.68,4,54.42,2024-11-24,No,0,0,217.68
TXN10563,BNPL5248,High Exposure User,2024-10-30,2024-10,Afterpay,Beauty and Skincare,64.54,6,10.76,2025-01-22,No,0,0,64.54
TXN10564,BNPL5248,High Exposure User,2024-05-20,2024-05,PayBright,"Fast Fashion (Shein, Temu, ASOS)",79.25,6,13.21,2024-08-12,No,0,0,79.25
TXN10565,BNPL5248,High Exposure User,2024-02-05,2024-02,Klarna,Sporting Goods,202.11,4,50.53,2024-04-01,Yes,1,8.0,210.11
TXN10566,BNPL5248,High Exposure User,2024-01-22,2024-01,PayBright,"Fast Fashion (Shein, Temu, ASOS)",39.39,3,13.13,2024-03-04,No,0,0,39.39
TXN10567,BNPL5249,Occasional User,2024-03-27,2024-03,Afterpay,Beauty and Skincare,97.19,4,24.3,2024-05-22,No,0,0,97.19
TXN10568,BNPL5249,Occasional User,2024-04-11,2024-04,Klarna,Electronics and Tech,346.36,3,115.45,2024-05-23,No,0,0,346.36
TXN10569,BNPL5250,Regular User,2024-09-11,2024-09,Klarna,Home and Furniture,407.52,4,101.88,2024-11-06,No,0,0,407.52
TXN10570,BNPL5250,Regular User,2024-03-23,2024-03,Klarna,"Fast Fashion (Shein, Temu, ASOS)",48.48,4,12.12,2024-05-18,No,0,0,48.48
TXN10571,BNPL5250,Regular User,2024-05-16,2024-05,Sezzle,Sporting Goods,273.11,4,68.28,2024-07-11,No,0,0,273.11
TXN10572,BNPL5250,Regular User,2024-07-06,2024-07,Klarna,Beauty and Skincare,82.82,6,13.8,2024-09-28,No,0,0,82.82
TXN10573,BNPL5250,Regular User,2024-11-07,2024-11,Afterpay,"Fast Fashion (Shein, Temu, ASOS)",77.3,3,25.77,2024-12-19,No,0,0,77.3
TXN10574,BNPL5250,Regular User,2024-06-23,2024-06,Sezzle,"Fast Fashion (Shein, Temu, ASOS)",25.04,4,6.26,2024-08-18,Yes,1,8.0,33.04
TXN10575,BNPL5250,Regular User,2024-03-14,2024-03,Afterpay,Electronics and Tech,301.34,4,75.33,2024-05-09,No,0,0,301.34
TXN10576,BNPL5251,High Exposure User,2024-05-25,2024-05,Sezzle,Electronics and Tech,345.58,3,115.19,2024-07-06,Yes,1,8.0,353.58
TXN10577,BNPL5251,High Exposure User,2024-01-16,2024-01,Afterpay,Home and Furniture,247.53,4,61.88,2024-03-12,Yes,1,8.0,255.53
TXN10578,BNPL5251,High Exposure User,2024-05-12,2024-05,Sezzle,Footwear,110.7,4,27.68,2024-07-07,No,0,0,110.7
TXN10579,BNPL5251,High Exposure User,2024-05-27,2024-05,Afterpay,"Fast Fashion (Shein, Temu, ASOS)",56.16,4,14.04,2024-07-22,No,0,0,56.16
TXN10580,BNPL5251,High Exposure User,2024-11-02,2024-11,Afterpay,"Fast Fashion (Shein, Temu, ASOS)",43.98,4,10.99,2024-12-28,No,0,0,43.98
TXN10581,BNPL5251,High Exposure User,2024-05-18,2024-05,Afterpay,Electronics and Tech,304.25,3,101.42,2024-06-29,Yes,2,16.0,320.25
TXN10582,BNPL5251,High Exposure User,2024-05-16,2024-05,Afterpay,Beauty and Skincare,61.74,4,15.44,2024-07-11,No,0,0,61.74
TXN10583,BNPL5251,High Exposure User,2024-12-25,2024-12,Sezzle,Electronics and Tech,284.06,4,71.02,2025-02-19,No,0,0,284.06
TXN10584,BNPL5252,Regular User,2024-07-14,2024-07,Sezzle,Beauty and Skincare,72.75,4,18.19,2024-09-08,Yes,2,16.0,88.75
TXN10585,BNPL5252,Regular User,2024-05-08,2024-05,Sezzle,Electronics and Tech,219.67,6,36.61,2024-07-31,No,0,0,219.67
TXN10586,BNPL5252,Regular User,2024-08-16,2024-08,Afterpay,Electronics and Tech,387.33,4,96.83,2024-10-11,No,0,0,387.33
TXN10587,BNPL5252,Regular User,2024-03-19,2024-03,Paidy,Home and Furniture,479.97,4,119.99,2024-05-14,No,0,0,479.97
TXN10588,BNPL5252,Regular User,2024-12-10,2024-12,Afterpay,Electronics and Tech,279.15,4,69.79,2025-02-04,Yes,1,8.0,287.15
TXN10589,BNPL5252,Regular User,2024-07-12,2024-07,Klarna,"Fast Fashion (Shein, Temu, ASOS)",39.22,4,9.8,2024-09-06,No,0,0,39.22
TXN10590,BNPL5252,Regular User,2024-12-01,2024-12,Sezzle,"Fast Fashion (Shein, Temu, ASOS)",60.4,6,10.07,2025-02-23,No,0,0,60.4
TXN10591,BNPL5253,Occasional User,2024-08-14,2024-08,Afterpay,"Fast Fashion (Shein, Temu, ASOS)",64.52,4,16.13,2024-10-09,No,0,0,64.52
TXN10592,BNPL5254,Regular User,2024-01-26,2024-01,Sezzle,Sporting Goods,223.01,6,37.17,2024-04-19,No,0,0,223.01
TXN10593,BNPL5254,Regular User,2024-12-16,2024-12,Sezzle,Footwear,137.58,6,22.93,2025-03-10,No,0,0,137.58
TXN10594,BNPL5254,Regular User,2024-06-04,2024-06,Afterpay,"Fast Fashion (Shein, Temu, ASOS)",58.39,4,14.6,2024-07-30,No,0,0,58.39
TXN10595,BNPL5254,Regular User,2024-10-12,2024-10,Afterpay,"Fast Fashion (Shein, Temu, ASOS)",44.24,4,11.06,2024-12-07,No,0,0,44.24
TXN10596,BNPL5254,Regular User,2024-02-03,2024-02,PayBright,Beauty and Skincare,107.91,3,35.97,2024-03-16,Yes,2,16.0,123.91
TXN10597,BNPL5254,Regular User,2024-05-02,2024-05,Sezzle,Electronics and Tech,332.98,4,83.25,2024-06-27,No,0,0,332.98
TXN10598,BNPL5254,Regular User,2024-09-20,2024-09,Klarna,Sporting Goods,191.34,4,47.84,2024-11-15,No,0,0,191.34
TXN10599,BNPL5254,Regular User,2024-11-14,2024-11,Klarna,Home and Furniture,394.04,4,98.51,2025-01-09,No,0,0,394.04
TXN10600,BNPL5255,Regular User,2024-02-28,2024-02,Paidy,Beauty and Skincare,68.99,4,17.25,2024-04-24,No,0,0,68.99
TXN10601,BNPL5255,Regular User,2024-04-29,2024-04,PayBright,Footwear,105.77,6,17.63,2024-07-22,No,0,0,105.77
TXN10602,BNPL5255,Regular User,2024-12-08,2024-12,Afterpay,Beauty and Skincare,72.69,4,18.17,2025-02-02,No,0,0,72.69
